mir-17,MIPF0000001
let-7,MIPF0000002
mir-430,MIPF0000003
mir-166,MIPF0000004
mir-30,MIPF0000005
mir-15,MIPF0000006
mir-181,MIPF0000007
mir-156,MIPF0000008
mir-29,MIPF0000009
mir-159,MIPF0000010
mir-19,MIPF0000011
mir-169_1,MIPF0000012
mir-25,MIPF0000013
mir-9,MIPF0000014
mir-399,MIPF0000015
mir-395,MIPF0000016
mir-125,MIPF0000017
mir-154,MIPF0000018
mir-8,MIPF0000019
mir-515,MIPF0000020
mir-124,MIPF0000021
mir-7,MIPF0000022
mir-167_1,MIPF0000023
mir-103,MIPF0000024
mir-99,MIPF0000025
mir-218,MIPF0000026
mir-23,MIPF0000027
mir-135,MIPF0000028
mir-133,MIPF0000029
mir-171_1,MIPF0000030
mir-196,MIPF0000031
mir-160,MIPF0000032
mir-10,MIPF0000033
mir-130,MIPF0000034
mir-172,MIPF0000035
mir-27,MIPF0000036
mir-169_2,MIPF0000037
mir-1,MIPF0000038
mir-34,MIPF0000039
mir-199,MIPF0000040
mir-24,MIPF0000041
mir-204,MIPF0000042
mir-26,MIPF0000043
mir-219,MIPF0000044
mir-164,MIPF0000045
mir-101,MIPF0000046
mir-396,MIPF0000047
mir-128,MIPF0000048
mir-2,MIPF0000049
mir-153,MIPF0000050
mir-221,MIPF0000051
mir-478,MIPF0000052
mir-22,MIPF0000053
mir-216,MIPF0000054
mir-194,MIPF0000055
mir-148,MIPF0000056
mir-28,MIPF0000057
mir-205,MIPF0000058
mir-184,MIPF0000059
mir-21,MIPF0000060
mir-365,MIPF0000061
mir-214,MIPF0000062
mir-192,MIPF0000063
mir-31,MIPF0000064
mir-132,MIPF0000065
mir-183,MIPF0000066
mir-223,MIPF0000067
mir-290,MIPF0000068
mir-32,MIPF0000069
mir-33,MIPF0000070
mir-302,MIPF0000071
mir-96,MIPF0000072
mir-129,MIPF0000073
mir-105,MIPF0000074
mir-138,MIPF0000075
mir-190,MIPF0000076
mir-217,MIPF0000077
mir-187,MIPF0000078
mir-145,MIPF0000079
mir-127,MIPF0000080
mir-168,MIPF0000081
mir-193,MIPF0000082
mir-393,MIPF0000083
mir-142,MIPF0000084
mir-140,MIPF0000085
mir-210,MIPF0000086
mir-46,MIPF0000087
mir-224,MIPF0000088
mir-445,MIPF0000089
mir-198,MIPF0000090
mir-368,MIPF0000091
mir-439,MIPF0000092
mir-144,MIPF0000093
mir-143,MIPF0000094
mir-122,MIPF0000095
mir-36,MIPF0000096
mir-338,MIPF0000097
mir-95,MIPF0000098
mir-136,MIPF0000099
mir-394,MIPF0000100
mir-390,MIPF0000101
mir-408,MIPF0000102
mir-146,MIPF0000103
mir-171_2,MIPF0000104
mir-147,MIPF0000105
