RF00002,5.8S ribosomal RNA,
RF00003,U1 spliceosomal RNA,
RF00004,U2 spliceosomal RNA,
RF00005,tRNA,
RF00006,Vault RNA,
RF00007,U12 minor spliceosomal RNA,
RF00008,Hammerhead ribozyme (type III),
RF00009,Nuclear RNase P,
RF00010,Bacterial RNase P class A,
RF00011,Bacterial RNase P class B,
RF00012,Small nucleolar RNA U3,
RF00013,6S / SsrS RNA,
RF00014,DsrA RNA,
RF00015,U4 spliceosomal RNA,
RF00016,Small nucleolar RNA SNORD14,C/D
RF00017,Eukaryotic type signal recognition particle RNA,
RF00018,CsrB/RsmB RNA family,,
RF00019,Y RNA,,
RF00020,U5 spliceosomal RNA,,
RF00021,Spot 42 RNA,,
RF00022,GcvB RNA,,
RF00023,tmRNA,,
RF00024,Vertebrate telomerase RNA,,
RF00025,Ciliate telomerase RNA,,
RF00026,U6 spliceosomal RNA,,
RF00027,let-7 microRNA precursor,let-7,MIPF0000002
RF00028,Group I catalytic intron,,
RF00029,Group II catalytic intron,,
RF00030,RNase MRP,,
RF00031,Selenocysteine insertion sequence,,
RF00032,Histone 3' UTR stem-loop,,
RF00033,MicF RNA,,
RF00034,RprA RNA,,
RF00035,OxyS RNA,,
RF00036,HIV Rev response element,,
RF00037,Iron response element,,
RF00038,PrfA thermoregulator UTR,,
RF00039,DicF RNA,,
RF00040,RNase E 5' UTR element,,
RF00041,Enteroviral 3' UTR element,,
RF00042,CopA-like RNA,,
RF00043,R1162-like plasmid antisense RNA,,
RF00044,Bacteriophage pRNA,,
RF00045,Small nucleolar RNA SNORA73 family,H/ACA,
RF00046,Small nucleolar RNA R30/Z108,C/D,
RF00047,mir-2 microRNA precursor,mir-2,MIPF0000049
RF00048,Enterovirus cis-acting replication element,,
RF00049,Small nucleolar RNA SNORD36,C/D,
RF00050,FMN riboswitch (RFN element),,
RF00051,mir-17 microRNA precursor family,mir-17,
RF00052,lin-4 microRNA precursor,lin-4,MIPF0000303
RF00053,mir-7 microRNA precursor,mir-7,MIPF0000022
RF00054,Small nucleolar RNA SNORD25,C/D,
RF00055,Small nucleolar RNA SNORD96 family,C/D,
RF00056,Small nucleolar RNA SNORA71,H/ACA,
RF00057,RyhB RNA,,
RF00058,HgcF RNA,,
RF00059,TPP riboswitch (THI element),,
RF00060,HgcE RNA,,
RF00061,Hepatitis C virus internal ribosome entry site,,
RF00062,HgcC family RNA,,
RF00063,SscA RNA,,
RF00064,HgcG RNA,,
RF00065,Small nucleolar RNA snoR9,C/D,
RF00066,U7 small nuclear RNA,,
RF00067,Small nucleolar RNA SNORD15,C/D,
RF00068,Small nucleolar RNA SNORD21,C/D,
